Weir_Site,Pop_Status,pHOS_Goal_HSRG,pHOS_Goal_MA_BiOp,Year,pMark,Weff
Grays River,Contributing_segregated,0.1,0.5,8,0.74,0.32
Grays River,Contributing_segregated,0.1,0.5,9,0.72,0.282
Grays River,Contributing_segregated,0.1,0.5,10,0.62,0.238
Grays River,Contributing_segregated,0.1,0.5,11,0.88,0.231
Grays River,Contributing_segregated,0.1,0.5,12,0.82,0.423
Grays River,Contributing_segregated,0.1,0.5,13,0.96,0.475
Grays River,Contributing_segregated,0.1,0.5,14,0.84,0.401
Grays River,Contributing_segregated,0.1,0.5,15,0.83,0.701
Grays River,Contributing_segregated,0.1,0.5,16,0.85,0.686
Elochoman River,Primary_segregated,0.05,0.5,9,0.93,0.981
Elochoman River,Primary_segregated,0.05,0.5,10,0.98,0.994
Elochoman River,Primary_segregated,0.05,0.5,11,0.98,0.971
Elochoman River,Primary_segregated,0.05,0.5,12,0.77,0.683
Elochoman River,Primary_segregated,0.05,0.5,13,0.87,0.642
Elochoman River,Primary_segregated,0.05,0.5,14,0.89,0.988
Elochoman River,Primary_segregated,0.05,0.5,15,0.90,0.991
Elochoman River,Primary_segregated,0.05,0.5,16,0.87,0.914
Elochoman River,Primary_segregated,0.05,0.5,17,0.73,0.963
Green River,Primary_integrated,0.3,0.3,10,0.87,0.988
Green River,Primary_integrated,0.3,0.3,11,0.93,0.946
Green River,Primary_integrated,0.3,0.3,12,0.84,0.948
Green River,Primary_integrated,0.3,0.3,13,0.82,0.857
Green River,Primary_integrated,0.3,0.3,14,0.86,0.91
Green River,Primary_integrated,0.3,0.3,15,0.80,0.995
Green River,Primary_integrated,0.3,0.3,16,0.76,0.883
Green River,Primary_integrated,0.3,0.3,17,0.73,0.977
Coweeman River,Primary_segregated,0.05,0.1,11,0.19,0.601
Coweeman River,Primary_segregated,0.05,0.1,12,0.21,0.6
Coweeman River,Primary_segregated,0.05,0.1,13,0.35,0.077
Coweeman River,Primary_segregated,0.05,0.1,14,0.20,0.787
Coweeman River,Primary_segregated,0.05,0.1,15,0.15,0.976
Coweeman River,Primary_segregated,0.05,0.1,16,0.11,0.196
Coweeman River,Primary_segregated,0.05,0.1,17,0.30,0.71
Kalama River,Contributing_segregated,0.1,0.1,15,0.90,0.936
Kalama River,Contributing_segregated,0.1,0.1,16,0.88,0.896
Kalama River,Contributing_segregated,0.1,0.1,17,0.90,0.952
Washougal River,Primary_integrated,0.3,0.3,11,0.93,0.35
Washougal River,Primary_integrated,0.3,0.3,12,0.94,0.63
Washougal River,Primary_integrated,0.3,0.3,13,0.83,0.34
Washougal River,Primary_integrated,0.3,0.3,14,0.89,0.963
Washougal River,Primary_integrated,0.3,0.3,15,0.91,0.942
Washougal River,Primary_integrated,0.3,0.3,16,0.88,0.747
Washougal River,Primary_integrated,0.3,0.3,17,0.81,0.773
