Year,Pop,mean,sd,X2.5.,X25.,X50.,X75.,X97.5.
2002,Coweeman,6.32,0.26,5.77,6.15,6.33,6.5,6.8
2003,Coweeman,6.04,0.21,5.61,5.89,6.04,6.18,6.45
2004,Coweeman,4.93,0.44,4.08,4.64,4.94,5.23,5.77
2008,Coweeman,6.92,0.77,5.43,6.4,6.91,7.44,8.44
2009,Coweeman,6.44,0.92,4.6,5.82,6.46,7.08,8.21
2010,Coweeman,4.36,0.55,3.4,3.98,4.32,4.7,5.54
2011,Coweeman,2.37,0.12,2.13,2.29,2.38,2.46,2.6
2012,Coweeman,3.77,0.45,2.88,3.47,3.78,4.08,4.63
2014,Coweeman,2.63,0.11,2.41,2.56,2.64,2.71,2.83
2015,Coweeman,3.16,0.01,3.13,3.16,3.17,3.17,3.18
2017,Coweeman,3.14,0.30,2.52,2.94,3.16,3.36,3.70
