Sort,Year,Redd_Name,Section,Date_New,Latitude,Longitude,Meas,rm,rkm,Stream,Redd_Count
1,2003,1100201SH,1,10/2/2003,46.151124,-122.585838,147784.9421,27.98957,45.04499,Coweeman River,1
2,2003,1100202SH,1,10/2/2003,46.151056,-122.586023,147741.44,27.98133,45.03173,Coweeman River,1
3,2003,1100205SH,1,10/2/2003,46.159162,-122.594468,143176.2525,27.11671,43.64025,Coweeman River,1
4,2003,1100206SH,1,10/2/2003,46.16206,-122.598874,141349.5995,26.77076,43.08349,Coweeman River,1
5,2003,1100207SH,1,10/2/2003,46.162116,-122.598959,141321.5685,26.76545,43.07494,Coweeman River,1
6,2003,1100208SH,1,10/2/2003,46.163105,-122.599592,140925.7281,26.69048,42.95429,Coweeman River,1
7,2003,1100209SH,1,10/2/2003,46.166683,-122.606702,138259.0722,26.18543,42.14149,Coweeman River,1
8,2003,1100901SS,1,10/9/2003,46.152984,-122.590096,146444.853,27.73577,44.63652,Coweeman River,1
9,2003,1100902SS,1,10/9/2003,46.156576,-122.592067,144483.9708,27.36439,44.03885,Coweeman River,1
10,2003,1100903SS,1,10/9/2003,46.156474,-122.592131,144509.6126,27.36925,44.04666,Coweeman River,1
11,2003,1100904SS,1,10/9/2003,46.157558,-122.594165,143804.3964,27.23568,43.83171,Coweeman River,1
12,2003,1100905SS,1,10/9/2003,46.162013,-122.598877,141354.4373,26.77167,43.08496,Coweeman River,1
13,2003,1100906SS,1,10/9/2003,46.161974,-122.598881,141358.3067,26.77241,43.08614,Coweeman River,1
14,2003,1100907SS,1,10/9/2003,46.16318,-122.599283,140848.9774,26.67594,42.9309,Coweeman River,1
15,2003,1100908SS,1,10/9/2003,46.164718,-122.599539,140249.957,26.56249,42.74832,Coweeman River,1
16,2003,1100909SS,1,10/9/2003,46.165223,-122.600451,139958.0333,26.5072,42.65934,Coweeman River,1
17,2003,1100910SS,1,10/9/2003,46.165407,-122.601027,139810.5877,26.47928,42.6144,Coweeman River,1
18,2003,1100911SS,1,10/9/2003,46.166432,-122.607362,138096.348,26.15461,42.09189,Coweeman River,1
19,2003,1100912SS,1,10/9/2003,46.166918,-122.610337,137327.5595,26.00901,41.85757,Coweeman River,1
20,2003,1101601RD,1,10/16/2003,46.150815,-122.583914,148296.9474,28.08654,45.20105,Coweeman River,1
21,2003,1101602RD,1,10/16/2003,46.153063,-122.591451,146003.366,27.65215,44.50196,Coweeman River,1
22,2003,1101603RD,1,10/16/2003,46.154017,-122.592717,145665.6742,27.5882,44.39903,Coweeman River,1
23,2003,1101604RD,1,10/16/2003,46.154886,-122.59276,145115.2551,27.48395,44.23126,Coweeman River,1
24,2003,1101605RD,1,10/16/2003,46.162139,-122.598928,141326.4244,26.76637,43.07642,Coweeman River,1
25,2003,1101606RD,1,10/16/2003,46.166839,-122.61133,137074.5409,25.96109,41.78045,Coweeman River,1
26,2003,1102201SS,1,10/22/2003,46.153373,-122.590649,146245.8431,27.69808,44.57587,Coweeman River,1
27,2003,1102202SS,1,10/22/2003,46.15452,-122.593404,145336.9462,27.52594,44.29884,Coweeman River,1
28,2003,1102203SS,1,10/22/2003,46.156998,-122.59212,144342.232,27.33754,43.99564,Coweeman River,1
29,2003,1102204SS,1,10/22/2003,46.1603,-122.595791,142573.3233,27.00252,43.45648,Coweeman River,1
30,2003,1102205SS,1,10/22/2003,46.160537,-122.595885,142482.5973,26.98534,43.42883,Coweeman River,1
31,2003,1102206SS,1,10/22/2003,46.162089,-122.59909,141292.1388,26.75987,43.06598,Coweeman River,1
32,2003,1102207SS,1,10/22/2003,46.165712,-122.602391,139422.438,26.40577,42.49609,Coweeman River,1
33,2003,2100201SH,2,10/2/2003,46.168412,-122.617418,135368.5943,25.63799,41.26047,Coweeman River,1
34,2003,2100201SS,2,10/2/2003,46.164982,-122.629893,131493.0491,24.90399,40.0792,Coweeman River,1
35,2003,2100202SH,2,10/2/2003,46.168365,-122.617516,135347.409,25.63398,41.25401,Coweeman River,1
36,2003,2100202SS,2,10/2/2003,46.165822,-122.633974,130212.4642,24.66145,39.68888,Coweeman River,1
37,2003,2100203SH,2,10/2/2003,46.168378,-122.617514,135346.9129,25.63388,41.25386,Coweeman River,1
38,2003,2100203SS,2,10/2/2003,46.166018,-122.634757,129988.1394,24.61897,39.6205,Coweeman River,1
39,2003,2100204SH,2,10/2/2003,46.168513,-122.618106,135187.6254,25.60372,41.20531,Coweeman River,1
40,2003,2100204SS,2,10/2/2003,46.167049,-122.635805,129556.7243,24.53726,39.48901,Coweeman River,1
41,2003,2100205SH,2,10/2/2003,46.168548,-122.617928,135230.6042,25.61186,41.21841,Coweeman River,1
42,2003,2100205SS,2,10/2/2003,46.168157,-122.640144,127734.6873,24.19217,38.93365,Coweeman River,1
43,2003,2100206SH,2,10/2/2003,46.168558,-122.617785,135266.2369,25.6186,41.22927,Coweeman River,1
44,2003,2100206SS,2,10/2/2003,46.168261,-122.639733,127852.9988,24.21458,38.96971,Coweeman River,1
45,2003,2100207SH,2,10/2/2003,46.168642,-122.623319,133719.1967,25.32561,40.75773,Coweeman River,1
46,2003,2100207SS,2,10/2/2003,46.167592,-122.641677,127286.3639,24.10727,38.797,Coweeman River,1
47,2003,2100208SH,2,10/2/2003,46.168559,-122.623403,133699.8971,25.32195,40.75185,Coweeman River,1
48,2003,2100208SS,2,10/2/2003,46.162617,-122.645831,125046.1908,23.68299,38.11419,Coweeman River,1
49,2003,2100209SS,2,10/2/2003,46.161702,-122.646386,124659.8295,23.60982,37.99643,Coweeman River,1
50,2003,2100210SS,2,10/2/2003,46.160806,-122.649832,123520.2249,23.39398,37.64908,Coweeman River,1
51,2003,2100211SS,2,10/2/2003,46.160137,-122.65114,123135.8837,23.32119,37.53193,Coweeman River,1
52,2003,2100212SS,2,10/2/2003,46.16058,-122.653443,122495.3396,23.19987,37.33669,Coweeman River,1
53,2003,2100213SS,2,10/2/2003,46.162037,-122.659829,120611.8147,22.84315,36.76259,Coweeman River,1
54,2003,2100214SS,2,10/2/2003,46.161382,-122.661964,119996.8629,22.72668,36.57515,Coweeman River,1
55,2003,2100215SS,2,10/2/2003,46.159503,-122.666413,118513.8874,22.44581,36.12314,Coweeman River,1
56,2003,2100216SS,2,10/2/2003,46.159126,-122.66901,117760.3583,22.3031,35.89347,Coweeman River,1
57,2003,2100217SS,2,10/2/2003,46.158909,-122.669122,117734.0226,22.29811,35.88544,Coweeman River,1
58,2003,2100218SS,2,10/2/2003,46.160039,-122.670815,117138.3419,22.18529,35.70387,Coweeman River,1
59,2003,2100219SS,2,10/2/2003,46.160058,-122.670721,117152.3443,22.18794,35.70814,Coweeman River,1
60,2003,2100220SS,2,10/2/2003,46.160817,-122.672125,116693.9599,22.10113,35.56843,Coweeman River,1
61,2003,2100222SS,2,10/2/2003,46.159387,-122.675786,115411.5496,21.85825,35.17755,Coweeman River,1
62,2003,2100223SS,2,10/2/2003,46.159467,-122.675841,115413.637,21.85864,35.17818,Coweeman River,1
63,2003,2100224SS,2,10/2/2003,46.160928,-122.679669,114230.0489,21.63448,34.81742,Coweeman River,1
64,2003,2100225SS,2,10/2/2003,46.161069,-122.679582,114238.066,21.636,34.81987,Coweeman River,1
65,2003,2100226SS,2,10/2/2003,46.16354,-122.683795,112760.0017,21.35606,34.36935,Coweeman River,1
66,2003,2100227SS,2,10/2/2003,46.16348,-122.683889,112748.1953,21.35382,34.36575,Coweeman River,1
67,2003,2100901SH,2,10/9/2003,46.164678,-122.630185,131366.2473,24.87997,40.04055,Coweeman River,1
68,2003,2100901SS,2,10/9/2003,46.168518,-122.617716,135286.0821,25.62236,41.23532,Coweeman River,1
69,2003,2100902SH,2,10/9/2003,46.165731,-122.634298,130148.2012,24.64928,39.66929,Coweeman River,1
70,2003,2100902SS,2,10/9/2003,46.168458,-122.617775,135274.8969,25.62024,41.23191,Coweeman River,1
71,2003,2100903SS,2,10/9/2003,46.168244,-122.623327,133726.8027,25.32705,40.76005,Coweeman River,1
72,2003,2100904SH,2,10/9/2003,46.168631,-122.639643,127936.5782,24.23041,38.99519,Coweeman River,1
73,2003,2100904SS,2,10/9/2003,46.168144,-122.624883,133326.3677,25.25121,40.638,Coweeman River,1
74,2003,2100905SH,2,10/9/2003,46.168627,-122.639738,127912.9321,24.22593,38.98798,Coweeman River,1
75,2003,2100905SS,2,10/9/2003,46.16815,-122.624961,133306.5742,25.24746,40.63197,Coweeman River,1
76,2003,2100906SS,2,10/9/2003,46.168165,-122.624977,133303.0485,25.24679,40.63089,Coweeman River,1
77,2003,2100907SH,2,10/9/2003,46.167984,-122.641415,127390.0676,24.12691,38.82861,Coweeman River,1
78,2003,2100908SH,2,10/9/2003,46.166253,-122.643736,126541.7422,23.96624,38.57004,Coweeman River,1
79,2003,2100909SH,2,10/9/2003,46.166253,-122.643736,126541.7422,23.96624,38.57004,Coweeman River,1
80,2003,2100910SH,2,10/9/2003,46.162026,-122.645999,124829.8956,23.64202,38.04827,Coweeman River,1
81,2003,2100911SH,2,10/9/2003,46.162077,-122.64592,124864.013,23.64849,38.05867,Coweeman River,1
82,2003,2100912SH,2,10/9/2003,46.161848,-122.64609,124756.0737,23.62804,38.02576,Coweeman River,1
83,2003,2100913SH,2,10/9/2003,46.161716,-122.64621,124697.38,23.61693,38.00788,Coweeman River,1
84,2003,2100914SH,2,10/9/2003,46.161616,-122.646303,124652.5108,23.60843,37.9942,Coweeman River,1
85,2003,2100915SH,2,10/9/2003,46.161603,-122.646369,124627.2796,23.60365,37.98651,Coweeman River,1
86,2003,2100916SH,2,10/9/2003,46.161119,-122.646671,124446.7961,23.56947,37.9315,Coweeman River,1
87,2003,2100917SH,2,10/9/2003,46.161229,-122.646581,124502.7726,23.58007,37.94856,Coweeman River,1
88,2003,2100918SH,2,10/9/2003,46.160982,-122.646732,124397.8491,23.5602,37.91658,Coweeman River,1
89,2003,2100919SH,2,10/9/2003,46.160944,-122.646778,124378.7434,23.55658,37.91076,Coweeman River,1
90,2003,2100920SH,2,10/9/2003,46.16092,-122.64678,124371.8203,23.55527,37.90865,Coweeman River,1
91,2003,2100921SH,2,10/9/2003,46.1609,-122.646832,124352.5878,23.55163,37.90278,Coweeman River,1
92,2003,2100922SH,2,10/9/2003,46.160802,-122.646902,124313.8978,23.5443,37.89099,Coweeman River,1
93,2003,2100923SH,2,10/9/2003,46.160577,-122.649852,123501.0913,23.39036,37.64325,Coweeman River,1
94,2003,2100924SH,2,10/9/2003,46.16052,-122.649767,123519.3074,23.39381,37.6488,Coweeman River,1
95,2003,2100925SH,2,10/9/2003,46.160957,-122.658696,121075.3918,22.93095,36.90389,Coweeman River,1
96,2003,2100926SH,2,10/9/2003,46.159612,-122.666604,118486.5122,22.44063,36.1148,Coweeman River,1
97,2003,2100930SH,2,10/9/2003,46.160633,-122.665806,118796.9606,22.49942,36.20942,Coweeman River,1
98,2003,2100931SH,2,10/9/2003,46.160006,-122.665975,118726.7192,22.48612,36.18801,Coweeman River,1
