Year,Mean_N,Median_N,Mean_NOR_N,Median_NOR_N,Mean_pHOS,Median_pHOS,Mean_Weff,Median_Weff
2003,1042,1041,NA,NA,NA,NA,NA,NA
2004,1509,1496,NA,NA,NA,NA,NA,NA
2005,906,704,NA,NA,NA,NA,NA,NA
2006,867,673,NA,NA,NA,NA,NA,NA
2007,400,387,NA,NA,NA,NA,NA,NA
2008,371,367,NA,NA,NA,NA,NA,NA
2009,597,586,NA,NA,NA,NA,NA,NA
2010,584,579,413,410,0.293,0.291,NA,NA
2011,707,703,622,619,0.119,0.118,0.601,0.603
2012,526,519,463,457,0.118,0.115,0.6,0.602
2013,2322,2261,1568,1531,0.325,0.325,0.077,0.073
2014,830,825,794,790,0.043,0.042,0.787,0.788
2015,1391,1387,1359,1356,0.023,0.021,0.976,0.977
2016,439,424,411,396,0.064,0.055,0.196,0.184
2017,841,832,721,715,0.143,0.138,0.71,0.712
