Sort,Concrete,Weir_Site,Year,X2.5.,X25.,X50.,X75.,X97.5.
1,0,Grays,2008,0.228197499,0.2764,0.3132,0.3581,0.4470025
2,0,Coweeman,2008,NA,NA,NA,NA,NA
3,0,Washougal,2008,NA,NA,NA,NA,NA
4,0,Grays,2009,0.148397499,0.224974996,0.2755,0.332924997,0.4476025
5,0,Coweeman,2009,NA,NA,NA,NA,NA
6,0,Washougal,2009,NA,NA,NA,NA,NA
7,0,Grays,2010,0.119497499,0.186774995,0.233749995,0.285124997,0.3776025
8,0,Coweeman,2010,NA,NA,NA,NA,NA
9,0,Washougal,2010,NA,,,,NA
10,0,Grays,2011,0.158097499,0.2074,0.232049995,0.2564,0.2979
11,0,Coweeman,2011,0.5296975,0.5776,0.6025,0.6254,0.6694025
12,0,Washougal,2011,0.3319,0.3446,0.3502,0.3553,0.3635
13,0,Grays,2012,0.208492495,0.3428,0.425,0.5032,0.6296
14,0,Coweeman,2012,0.466989996,0.5566,0.6019,0.6449,0.7186025
15,0,Washougal,2012,0.6043,0.6236,0.6316,0.6386,0.649
16,0,Grays,2013,0.227997499,0.3164,0.418,0.597324961,0.9435025
17,0,Coweeman,2013,0.045099,0.0617075,0.07349,0.0880025,0.128507491
18,0,Washougal,2013,0.3217975,0.3357,0.3411,0.3455,0.3521
19,0,Grays,2014,0.164397499,0.2369,0.3217,0.5153,0.941407499
20,0,Coweeman,2014,0.7303,0.7694,0.7881,0.8058,0.8375
21,0,Washougal,2014,0.9551,0.9604,0.963,0.9655,0.97
23,0,Grays,2015,0.43078499,0.558474998,0.677049998,0.84887499,0.9953
24,0,Coweeman,2015,0.9597975,0.9716,0.977,0.9815,0.9885
25,0,Washougal,2015,0.934,0.9394,0.9421,0.9447,0.9496
26,0,Grays,2016,0.408092497,0.539774998,0.6655,0.83,1
27,0,Coweeman,2016,0.102497499,0.1512,0.1844,0.2293,0.351109994
27,0,Washougal,2016,0.713,0.7387,0.7487,0.7568,0.7692
28,0,Grays,2017,NA,NA,NA,NA,NA
29,0,Coweeman,2017,0.586194999,0.6706,0.7119,0.752624999,0.8192025
30,0,Washougal,2017,0.700194999,0.7539,0.776,0.796,0.8277025
31,1,Elochoman,2008,NA,NA,NA,NA,NA
32,1,Green,2008,NA,NA,NA,NA,NA
33,1,Kalama,2008,NA,NA,NA,NA,NA
34,1,Elochoman,2009,0.9747,0.9794,0.9815,0.9835,0.9867
35,1,Green,2009,NA,NA,NA,NA,NA
36,1,Kalama,2009,NA,NA,NA,NA,NA
37,1,Elochoman,2010,0.9892,0.993,0.9946,0.9958,0.9975
38,1,Green,2010,0.9077975,0.9652,0.9883,1,1
39,1,Kalama,2010,NA,NA,NA,NA,NA
40,1,Elochoman,2011,0.9604,0.9685,0.972,0.975,0.9796
41,1,Green,2011,0.911264974,0.933874999,0.9467,0.957624999,0.980012497
42,1,Kalama,2011,NA,NA,NA,NA,NA
43,1,Elochoman,2012,0.501292498,0.625574999,0.6865,0.7457,0.8419025
44,1,Green,2012,0.927084995,0.9419,0.948649999,0.955224999,0.9660025
45,1,Kalama,2012,NA,NA,NA,NA,NA
46,1,Elochoman,2013,0.4421,0.5746,0.6461,0.7125,0.8171025
47,1,Green,2013,0.817977488,0.844874999,0.857649999,0.869724999,0.8893
48,1,Kalama,2013,NA,NA,NA,NA,NA
49,1,Elochoman,2014,0.9769,0.9847,0.9882,0.9912,0.9957
50,1,Green,2014,0.833387496,0.891499983,0.913349999,0.932524999,0.9578
51,1,Kalama,2014,NA,NA,NA,NA,NA
52,1,Elochoman,2015,0.9826,0.989,0.9918,0.9943,0.9981
53,1,Green,2015,1,1,1,1,1
54,1,Kalama,2015,0.9199,0.9311,0.9364,0.9416,0.9505
55,1,Elochoman,2016,0.8593975,0.8984,0.9164,0.9319,0.9567
56,1,Green,2016,0.815567475,0.8655,0.886249999,0.904724999,0.9312025
57,1,Kalama,2016,0.8815,0.8911,0.8959,0.9005,0.9084
58,1,Elochoman,2017,0.9158975,0.951,0.9654,0.9772,0.9927
59,1,Green,2017,0.9474975,0.9702,0.9782,0.9856,0.9949025
60,1,Kalama,2017,0.9446,0.9498,0.9523,0.9546,0.9586
