Pop,Year,AW_HOS,BW_HOS,Non_Weir_Subpop_HOS,AW_NOS,BW_NOS,Non_Weir_Subpop_NOS,HOS_Removals,NOS_Removals,pHOS_Goal_HSRG,Pop_pHOS
"Grays, Chinook",2008,122,4,0,67,1,0,60,0,0.1,0.65065495
"Grays, Chinook",2009,340,59,0,201,19,0,140,0,0.1,0.6435522
"Grays, Chinook",2010,85,2,0,83,0,0,43,0,0.1,0.513748413
"Grays, Chinook",2011,329,24,0,62,1,0,97,0,0.1,0.850708763
"Grays, Chinook",2012,71,54,0,17,18,0,38,0,0.1,0.780593138
"Grays, Chinook",2013,779,774,0,52,43,0,493,0,0.1,0.944757725
"Grays, Chinook",2014,359,425,0,122,63,0,176,0,0.1,0.809260113
"Grays, Chinook",2015,207,336,0,177,42,0,525,0,0.1,0.711282975
"Grays, Chinook",2016,130,145,0,50,30,0,200,0,0.1,0.77362555
"Grays, Chinook",2017,,,,,,,,,0.1,
"Elochoman, Skamokawa",2008,,,,,,,,,0.05,
"Elochoman, Skamokawa",2009,1003,0,5,255,0,0,2252,2,0.05,0.798
"Elochoman, Skamokawa",2010,743,10,371,110,0,26,3569,0,0.05,0.891670938
"Elochoman, Skamokawa",2011,632,0,388,43,0,21,1396,0,0.05,0.9421925
"Elochoman, Skamokawa",2012,29,46,69,46,6,9,102,0,0.05,0.698918688
"Elochoman, Skamokawa",2013,116,33,219,47,9,23,199,0,0.05,0.821947125
"Elochoman, Skamokawa",2014,31,6,497,121,1,25,986,2,0.05,0.780111838
"Elochoman, Skamokawa",2015,45,22,692,159,3,68,1488,3,0.05,0.7632401
"Elochoman, Skamokawa",2016,17,46,213,56,8,26,357,0,0.05,0.750681525
"Elochoman, Skamokawa",2017,5,15,17,60,8,9,162,0,0.05,0.322996924
Toutle,2008,,,,,,,,,0.3,
Toutle,2009,,,,,,,,,0.3,
Toutle,2010,1508,62,120,174,23,31,1186,203,0.3,0.880507125
Toutle,2011,1225,38,37,158,16,25,3014,141,0.3,0.867852
Toutle,2012,480,26,166,174,11,49,1474,192,0.3,0.740917625
Toutle,2013,553,106,180,528,62,324,3237,270,0.3,0.479074
Toutle,2014,150,53,178,280,30,93,2332,111,0.3,0.48585425
Toutle,2015,21,100,104,282,30,61,1825,177,0.3,0.368373875
Toutle,2016,142,199,94,233,98,36,1081,119,0.3,0.538721375
Toutle,2017,9,152,121,75,150,87,548,49,0.3,0.47136725
Coweeman,2008,,,,,,,,,0.05,
Coweeman,2009,,,,,,,,,0.05,
Coweeman,2010,,,,,,,,,0.05,
Coweeman,2011,49,35,0,521,101,0,57,0,0.05,0.119234889
Coweeman,2012,18,44,0,312,151,0,58,0,0.05,0.11786321
Coweeman,2013,725,29,0,1550,18,0,84,0,0.05,0.324831488
Coweeman,2014,20,16,0,640,154,0,162,3,0.05,0.042825836
Coweeman,2015,10,22,0,1248,112,0,205,5,0.05,0.02281593
Coweeman,2016,27,1,0,409,2,0,19,4,0.05,0.063501364
Coweeman,2017,102,18,0,667,54,0,185,1,0.05,0.142777653
Kalama,2008,,,,,,,,,0.1,
Kalama,2009,,,,,,,,,0.1,
Kalama,2010,,,,,,,,,0.1,
Kalama,2011,,,,,,,,,0.1,
Kalama,2012,,,,,,,,,0.1,
Kalama,2013,,,,,,,,,0.1,
Kalama,2014,,,,,,,,,0.1,
Kalama,2015,1942,1592,0,2465,424,0,24852,415,0.1,0.549016069
Kalama,2016,1426,261,0,2393,147,0,16897,13,0.1,0.398437006
Kalama,2017,738,571,0,1524,208,0,14846,54,0.1,0.429561725
Washougal,2008,,,,,,,,,0.3,
Washougal,2009,,,,,,,,,0.3,
Washougal,2010,,,,,,,,,0.3,
Washougal,2011,2317,434,0,323,150,0,3759,0,0.3,0.853535588
Washougal,2012,556,153,0,114,143,0,3262,0,0.3,0.7380646
Washougal,2013,1603,812,0,590,607,0,3276,1,0.3,0.668766438
Washougal,2014,243,288,0,498,500,0,9243,262,0.3,0.347371363
Washougal,2015,365,1227,0,583,749,0,15420,301,0.3,0.543957813
Washougal,2016,939,376,0,217,666,0,6281,164,0.3,0.5998123
Washougal,2017,330,127,0,437,218,0,2697,89,0.3,0.407686788
